[2025-06-10 19:19:14,108] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-06-10 19:21:07,331] INFO inference.views - Получен запрос на распознавание: файл=1 минута текст википедиа.mp3, модель=whisper, язык=ru
[2025-06-10 19:21:07,347] INFO inference.services.preprocess - Старт обработки аудиофайла: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_w1RMUHQ.mp3
[2025-06-10 19:21:07,666] INFO inference.services.preprocess - Конвертирован в WAV: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_w1RMUHQ_converted.wav
[2025-06-10 19:21:07,906] INFO inference.services.preprocess - Выполняется компенсация шума (noisereduce)...
[2025-06-10 19:21:09,276] INFO inference.services.preprocess - Выполняется удаление пауз тишины (librosa.effects.split)...
[2025-06-10 19:21:13,678] INFO inference.services.preprocess - Найдено 53 речевых интервалов
[2025-06-10 19:21:13,713] INFO inference.services.preprocess - Сохранено чанков: 5
[2025-06-10 19:21:13,784] INFO inference.views - Аудиофайл разбит на 5 чанков.
[2025-06-10 19:21:13,784] INFO inference.views - Обработка чанка 1/5: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_w1RMUHQ_converted_chunk_000.wav
[2025-06-10 19:21:13,800] INFO inference.services.recognize_whisper - Загрузка модели Whisper...
[2025-06-10 19:21:14,566] INFO inference.services.recognize_whisper - Модель Whisper загружена.
[2025-06-10 19:21:14,566] INFO inference.services.recognize_whisper - Распознавание Whisper: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_w1RMUHQ_converted_chunk_000.wav (язык: ru)
[2025-06-10 19:21:22,029] INFO inference.views - Обработка чанка 2/5: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_w1RMUHQ_converted_chunk_001.wav
[2025-06-10 19:21:22,029] INFO inference.services.recognize_whisper - Распознавание Whisper: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_w1RMUHQ_converted_chunk_001.wav (язык: ru)
[2025-06-10 19:21:28,599] INFO inference.views - Обработка чанка 3/5: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_w1RMUHQ_converted_chunk_002.wav
[2025-06-10 19:21:28,599] INFO inference.services.recognize_whisper - Распознавание Whisper: D:\ВКР\project\asr_project\media\temp/1 минута текст википедиа_w1RMUHQ_converted_chunk_002.wav (язык: ru)
